//Vitesse d'echantillonage ms : 100
Tension (0-255) de 12V;Pos Encodeur A ;Pos encodeur B
50; 0; 0
50; 15; 16
50; 53; 54
50; 102; 103
50; 155; 156
50; 210; 211
50; 265; 266
50; 320; 321
50; 376; 377
50; 431; 432
50; 487; 488
50; 542; 543
50; 598; 598
50; 653; 654
50; 709; 709
50; 764; 765
50; 819; 820
50; 875; 876
50; 930; 931
50; 986; 987
50; 1042; 1042
50; 1097; 1098
50; 1153; 1154
50; 1208; 1209
50; 1264; 1265
50; 1319; 1320
50; 1375; 1376
50; 1430; 1431
50; 1486; 1486
50; 1541; 1542
50; 1597; 1597
50; 1652; 1653
50; 1707; 1708
50; 1763; 1764
50; 1818; 1819
50; 1874; 1875
50; 1929; 1930
50; 1985; 1986
50; 2040; 2041
50; 2096; 2096
50; 2151; 2152
50; 2206; 2207
50; 2262; 2263
50; 2317; 2318
50; 2373; 2373
50; 2428; 2429
50; 2483; 2484
50; 2539; 2540
50; 2594; 2595
50; 2650; 2650
50; 2705; 2706
50; 2760; 2761
50; 2816; 2817
50; 2871; 2872
50; 2927; 2927
50; 2982; 2983
50; 3037; 3038
50; 3093; 3093
50; 3148; 3149
50; 3203; 3204
50; 3259; 3259
50; 3314; 3315
50; 3369; 3370
50; 3425; 3425
50; 3480; 3481
50; 3535; 3536
50; 3591; 3592
50; 3646; 3647
50; 3702; 3702
50; 3757; 3758
50; 3812; 3813
50; 3868; 3869
50; 3923; 3924
50; 3979; 3979
50; 4034; 4035
50; 4089; 4090
50; 4145; 4145
50; 4200; 4201
50; 4255; 4256
50; 4311; 4311
50; 4366; 4367
50; 4421; 4422
50; 4477; 4477
50; 4532; 4533
50; 4587; 4588
50; 4642; 4643
50; 4698; 4699
50; 4753; 4754
50; 4808; 4809
50; 4864; 4865
50; 4919; 4920
50; 4974; 4975
50; 5030; 5031
50; 5085; 5086
50; 5140; 5141
50; 5196; 5196
50; 5251; 5252
50; 5306; 5307
50; 5362; 5362
50; 5417; 5418
50; 5472; 5473
50; 5528; 5528
50; 5583; 5584
50; 5638; 5639
50; 5693; 5694
50; 5749; 5749
50; 5804; 5805
50; 5859; 5860
50; 5914; 5915
50; 5970; 5971
50; 6025; 6026
50; 6080; 6081
50; 6136; 6136
50; 6191; 6192
50; 6246; 6247
50; 6301; 6302
50; 6357; 6357
50; 6412; 6413
50; 6467; 6468
50; 6522; 6523
50; 6578; 6579
50; 6633; 6634
50; 6688; 6689
50; 6744; 6744
50; 6799; 6800
50; 6854; 6855
50; 6909; 6910
50; 6965; 6965
50; 7020; 7021
50; 7075; 7076
50; 7130; 7131
50; 7186; 7186
50; 7241; 7242
50; 7296; 7297
50; 7352; 7352
50; 7407; 7408
50; 7462; 7463
50; 7517; 7518
50; 7573; 7574
50; 7628; 7629
50; 7683; 7684
50; 7739; 7739
50; 7794; 7795
50; 7849; 7850
50; 7905; 7905
50; 7960; 7961
50; 8015; 8016
50; 8070; 8071
50; 8126; 8127
50; 8181; 8182
50; 8237; 8237
50; 8292; 8293
50; 8347; 8348
50; 8403; 8403
50; 8458; 8459
50; 8513; 8514
50; 8569; 8569
50; 8624; 8625
50; 8679; 8680
50; 8735; 8735
50; 8790; 8791
50; 8845; 8846
50; 8901; 8902
50; 8956; 8957
50; 9012; 9012
50; 9067; 9068
50; 9122; 9123
50; 9178; 9178
50; 9233; 9234
50; 9288; 9289
50; 9344; 9344
50; 9399; 9400
50; 9454; 9455
50; 9510; 9510
50; 9565; 9566
50; 9620; 9621
50; 9676; 9676
50; 9731; 9732
50; 9786; 9787
50; 9842; 9842
50; 9897; 9898
50; 9952; 9953
80; 10008; 10009
80; 10074; 10075
80; 10152; 10153
80; 10234; 10235
80; 10317; 10318
80; 10401; 10402
80; 10485; 10486
80; 10569; 10570
80; 10653; 10653
80; 10736; 10737
80; 10820; 10821
80; 10904; 10905
80; 10988; 10989
80; 11072; 11072
80; 11155; 11156
80; 11239; 11240
80; 11323; 11324
80; 11407; 11408
80; 11491; 11491
80; 11574; 11575
80; 11658; 11659
80; 11742; 11743
80; 11826; 11827
80; 11910; 11910
80; 11993; 11994
80; 12077; 12078
80; 12161; 12162
80; 12245; 12246
80; 12329; 12329
80; 12413; 12413
80; 12496; 12497
80; 12580; 12581
80; 12664; 12665
80; 12748; 12749
80; 12832; 12832
80; 12915; 12916
80; 12999; 13000
80; 13083; 13084
80; 13167; 13168
80; 13251; 13251
80; 13334; 13335
80; 13418; 13419
80; 13502; 13503
80; 13586; 13587
80; 13670; 13670
80; 13753; 13754
80; 13837; 13838
80; 13921; 13922
80; 14005; 14006
80; 14089; 14089
80; 14172; 14173
80; 14256; 14257
80; 14340; 14341
80; 14424; 14425
80; 14508; 14508
80; 14591; 14592
80; 14675; 14676
80; 14759; 14760
80; 14843; 14844
80; 14927; 14927
80; 15010; 15011
80; 15094; 15095
80; 15178; 15179
80; 15262; 15263
80; 15346; 15346
80; 15429; 15430
80; 15513; 15514
80; 15597; 15598
80; 15681; 15682
80; 15765; 15765
80; 15848; 15849
80; 15932; 15933
80; 16016; 16017
80; 16100; 16101
80; 16184; 16184
80; 16267; 16268
80; 16351; 16352
80; 16435; 16436
80; 16519; 16520
80; 16603; 16604
80; 16687; 16687
80; 16770; 16771
80; 16854; 16855
80; 16938; 16939
80; 17022; 17023
80; 17106; 17106
80; 17189; 17190
80; 17273; 17274
80; 17357; 17358
80; 17441; 17442
80; 17525; 17525
80; 17608; 17609
80; 17692; 17693
80; 17776; 17777
80; 17860; 17861
80; 17944; 17944
80; 18027; 18028
80; 18111; 18112
80; 18195; 18196
80; 18279; 18280
80; 18363; 18363
80; 18446; 18447
80; 18530; 18531
80; 18614; 18615
80; 18698; 18699
80; 18782; 18782
80; 18865; 18866
80; 18949; 18950
80; 19033; 19034
80; 19117; 19118
80; 19201; 19201
80; 19284; 19285
80; 19368; 19369
80; 19452; 19453
80; 19536; 19537
80; 19620; 19620
80; 19703; 19704
80; 19787; 19788
80; 19871; 19872
80; 19955; 19956
110; 20039; 20039
110; 20134; 20135
110; 20241; 20242
110; 20352; 20353
110; 20464; 20465
110; 20576; 20577
110; 20689; 20690
110; 20801; 20802
110; 20914; 20914
110; 21026; 21027
110; 21138; 21139
110; 21251; 21252
110; 21363; 21364
110; 21476; 21477
110; 21588; 21589
110; 21701; 21702
110; 21813; 21814
110; 21926; 21926
110; 22038; 22039
110; 22151; 22151
110; 22263; 22264
110; 22375; 22376
110; 22488; 22489
110; 22600; 22601
110; 22713; 22714
110; 22825; 22826
110; 22938; 22939
110; 23050; 23051
110; 23163; 23164
110; 23275; 23276
110; 23388; 23389
110; 23500; 23501
110; 23613; 23614
110; 23725; 23726
110; 23838; 23838
110; 23950; 23951
110; 24063; 24063
110; 24175; 24176
110; 24287; 24288
110; 24400; 24401
110; 24512; 24513
110; 24625; 24625
110; 24737; 24738
110; 24849; 24850
110; 24962; 24963
110; 25074; 25075
110; 25187; 25187
110; 25299; 25300
110; 25411; 25412
110; 25524; 25524
110; 25636; 25637
110; 25748; 25749
110; 25861; 25862
110; 25973; 25974
110; 26086; 26086
110; 26198; 26199
110; 26310; 26311
110; 26423; 26424
110; 26535; 26536
110; 26648; 26648
110; 26760; 26761
110; 26872; 26873
110; 26985; 26985
110; 27097; 27098
110; 27209; 27210
110; 27322; 27322
110; 27434; 27435
110; 27546; 27547
110; 27659; 27660
110; 27771; 27772
110; 27884; 27884
110; 27996; 27997
110; 28108; 28109
110; 28221; 28222
110; 28333; 28334
110; 28445; 28446
110; 28558; 28559
110; 28670; 28671
110; 28782; 28783
110; 28895; 28896
110; 29007; 29008
110; 29120; 29120
110; 29232; 29233
110; 29344; 29345
110; 29457; 29458
110; 29569; 29570
110; 29682; 29682
110; 29794; 29795
110; 29906; 29907
140; 30019; 30019
140; 30143; 30143
140; 30278; 30279
140; 30418; 30419
140; 30559; 30560
140; 30701; 30701
140; 30842; 30843
140; 30984; 30985
140; 31126; 31127
140; 31268; 31269
140; 31410; 31410
140; 31552; 31552
140; 31693; 31694
140; 31835; 31836
140; 31977; 31978
140; 32119; 32120
140; 32261; 32262
140; 32403; 32404
140; 32545; 32546
140; 32687; 32688
140; 32829; 32830
140; 32971; 32972
140; 33113; 33114
140; 33255; 33256
140; 33397; 33398
140; 33539; 33540
140; 33681; 33682
140; 33823; 33824
140; 33965; 33966
140; 34107; 34108
140; 34249; 34250
140; 34391; 34392
140; 34533; 34534
140; 34675; 34676
140; 34817; 34818
140; 34959; 34960
140; 35101; 35102
140; 35243; 35244
140; 35385; 35386
140; 35527; 35528
140; 35669; 35670
140; 35811; 35812
140; 35953; 35954
140; 36095; 36096
140; 36237; 36237
140; 36379; 36379
140; 36520; 36521
140; 36662; 36663
140; 36804; 36805
140; 36946; 36947
140; 37088; 37089
140; 37230; 37231
140; 37372; 37373
140; 37514; 37515
140; 37656; 37657
140; 37798; 37799
140; 37940; 37941
140; 38082; 38083
140; 38224; 38225
140; 38366; 38367
140; 38508; 38509
140; 38651; 38651
140; 38793; 38793
140; 38935; 38935
140; 39077; 39078
140; 39219; 39220
140; 39361; 39362
140; 39503; 39503
140; 39645; 39645
140; 39787; 39787
140; 39929; 39930
170; 40071; 40072
170; 40224; 40225
170; 40389; 40390
170; 40558; 40559
170; 40729; 40729
170; 40900; 40901
170; 41071; 41072
170; 41243; 41243
170; 41414; 41415
170; 41585; 41586
170; 41756; 41758
170; 41927; 41929
170; 42098; 42100
170; 42270; 42272
170; 42441; 42443
170; 42613; 42614
170; 42784; 42786
170; 42955; 42957
170; 43127; 43128
170; 43298; 43300
170; 43469; 43471
170; 43641; 43642
170; 43812; 43814
170; 43983; 43985
170; 44154; 44156
170; 44326; 44328
170; 44497; 44499
170; 44668; 44670
170; 44840; 44841
170; 45011; 45013
170; 45182; 45184
170; 45353; 45355
170; 45524; 45527
170; 45695; 45698
170; 45866; 45869
170; 46038; 46040
170; 46209; 46212
170; 46380; 46383
170; 46552; 46554
170; 46723; 46726
170; 46894; 46897
170; 47066; 47069
170; 47237; 47240
170; 47409; 47411
170; 47580; 47583
170; 47750; 47754
170; 47922; 47925
170; 48093; 48097
170; 48265; 48268
170; 48436; 48440
170; 48607; 48611
170; 48779; 48783
170; 48949; 48954
170; 49120; 49125
170; 49292; 49297
170; 49463; 49468
170; 49634; 49639
170; 49806; 49811
170; 49977; 49982
200; 50149; 50153
200; 50330; 50335
200; 50524; 50528
200; 50722; 50727
200; 50922; 50926
200; 51121; 51126
200; 51321; 51326
200; 51521; 51526
200; 51721; 51726
200; 51921; 51926
200; 52120; 52125
200; 52320; 52325
200; 52520; 52525
200; 52720; 52725
200; 52920; 52925
200; 53119; 53124
200; 53319; 53324
200; 53519; 53524
200; 53718; 53723
200; 53918; 53923
200; 54118; 54123
200; 54318; 54322
200; 54517; 54522
200; 54717; 54722
200; 54917; 54921
200; 55115; 55121
200; 55315; 55321
200; 55515; 55521
200; 55715; 55720
200; 55914; 55920
200; 56114; 56120
200; 56313; 56320
200; 56513; 56519
200; 56712; 56719
200; 56912; 56919
200; 57112; 57119
200; 57312; 57318
200; 57511; 57518
200; 57711; 57718
200; 57911; 57917
200; 58110; 58117
200; 58310; 58317
200; 58510; 58517
200; 58710; 58717
200; 58909; 58916
200; 59109; 59116
200; 59309; 59315
200; 59508; 59515
200; 59707; 59715
200; 59906; 59914
230; 60106; 60114
230; 60314; 60322
230; 60532; 60540
230; 60754; 60762
230; 60977; 60985
230; 61201; 61209
230; 61426; 61434
230; 61650; 61658
230; 61875; 61883
230; 62100; 62107
230; 62324; 62332
230; 62549; 62557
230; 62773; 62781
230; 62997; 63006
230; 63222; 63231
230; 63447; 63456
230; 63672; 63680
230; 63896; 63905
230; 64121; 64130
230; 64346; 64355
230; 64571; 64579
230; 64795; 64804
230; 65020; 65029
230; 65245; 65254
230; 65470; 65479
230; 65695; 65704
230; 65920; 65929
230; 66145; 66154
230; 66370; 66378
230; 66594; 66603
230; 66819; 66828
230; 67044; 67053
230; 67269; 67278
230; 67494; 67503
230; 67719; 67728
230; 67944; 67952
230; 68168; 68177
230; 68393; 68402
230; 68618; 68627
230; 68843; 68852
230; 69067; 69076
230; 69293; 69301
230; 69518; 69526
230; 69742; 69750
230; 69967; 69975
